dataset;method;cls;nr_events;metric;score
bpic2017_C;prefix_laststate;logit;9;fscore;0.7941753926701571
bpic2017_C;prefix_laststate;logit;10;auc;0.8669564183158555
bpic2017_C;prefix_laststate;logit;10;prec;0.7986176562990889
bpic2017_C;prefix_laststate;logit;10;rec;0.8579142760715491
bpic2017_C;prefix_laststate;logit;10;fscore;0.8272046859746176
bpic2017_C;prefix_laststate;logit;11;auc;0.8829572911318143
bpic2017_C;prefix_laststate;logit;11;prec;0.8132210788899282
bpic2017_C;prefix_laststate;logit;11;rec;0.8807835190813914
bpic2017_C;prefix_laststate;logit;11;fscore;0.8456549935149157
bpic2017_C;prefix_laststate;logit;12;auc;0.8965462523120045
bpic2017_C;prefix_laststate;logit;12;prec;0.8234379857009636
bpic2017_C;prefix_laststate;logit;12;rec;0.8949324324324325
bpic2017_C;prefix_laststate;logit;12;fscore;0.8576979116075765
bpic2017_C;prefix_laststate;logit;13;auc;0.9033690030439212
bpic2017_C;prefix_laststate;logit;13;prec;0.8315029808597427
bpic2017_C;prefix_laststate;logit;13;rec;0.8958755916159568
bpic2017_C;prefix_laststate;logit;13;fscore;0.8624898291293734
bpic2017_C;prefix_laststate;logit;14;auc;0.9053947237407184
bpic2017_C;prefix_laststate;logit;14;prec;0.8263665594855305
bpic2017_C;prefix_laststate;logit;14;rec;0.8694181326116374
bpic2017_C;prefix_laststate;logit;14;fscore;0.8473458621826574
bpic2017_C;prefix_laststate;logit;15;auc;0.9089491039614058
bpic2017_C;prefix_laststate;logit;15;prec;0.8338240104677789
bpic2017_C;prefix_laststate;logit;15;rec;0.8637749915282955
bpic2017_C;prefix_laststate;logit;15;fscore;0.8485352862849536
bpic2017_C;prefix_laststate;logit;16;auc;0.9136716357998776
bpic2017_C;prefix_laststate;logit;16;prec;0.8433497536945813
bpic2017_C;prefix_laststate;logit;16;rec;0.8719864176570459
bpic2017_C;prefix_laststate;logit;16;fscore;0.8574290484140233
bpic2017_C;prefix_laststate;logit;17;auc;0.9068452109594332
bpic2017_C;prefix_laststate;logit;17;prec;0.8232081911262799
bpic2017_C;prefix_laststate;logit;17;rec;0.8263103802672148
bpic2017_C;prefix_laststate;logit;17;fscore;0.8247563686100188
bpic2017_C;prefix_laststate;logit;18;auc;0.9068054321477692
bpic2017_C;prefix_laststate;logit;18;prec;0.8336871903750884
bpic2017_C;prefix_laststate;logit;18;rec;0.8085106382978723
bpic2017_C;prefix_laststate;logit;18;fscore;0.8209059233449476
bpic2017_C;prefix_laststate;logit;19;auc;0.9107531847886564
bpic2017_C;prefix_laststate;logit;19;prec;0.8274231678486997
bpic2017_C;prefix_laststate;logit;19;rec;0.7906626506024096
bpic2017_C;prefix_laststate;logit;19;fscore;0.8086253369272237
bpic2017_C;prefix_laststate;logit;20;auc;0.9089625081995991
bpic2017_C;prefix_laststate;logit;20;prec;0.8393442622950821
bpic2017_C;prefix_laststate;logit;20;rec;0.7828746177370031
bpic2017_C;prefix_laststate;logit;20;fscore;0.8101265822784809
bpic2017_C;prefix_laststate;logit;-1;auc;0.8377915383330836
bpic2017_C;prefix_laststate;logit;-1;fscore;0.7536439973311605
bpic2017_R;single_laststate;catboost;1;auc;0.8228310243352321
bpic2017_R;single_laststate;catboost;1;prec;0.39092055485498106
bpic2017_R;single_laststate;catboost;1;rec;0.3870162297128589
bpic2017_R;single_laststate;catboost;1;fscore;0.3889585947302384
bpic2017_R;single_laststate;catboost;2;auc;0.8204154465801367
bpic2017_R;single_laststate;catboost;2;prec;0.3886743886743887
bpic2017_R;single_laststate;catboost;2;rec;0.37702871410736577
bpic2017_R;single_laststate;catboost;2;fscore;0.38276299112801015
bpic2017_R;single_laststate;catboost;3;auc;0.8219971751837019
bpic2017_R;single_laststate;catboost;3;prec;0.3894472361809045
bpic2017_R;single_laststate;catboost;3;rec;0.3870162297128589
bpic2017_R;single_laststate;catboost;3;fscore;0.3882279273638071
bpic2017_R;single_laststate;catboost;4;auc;0.8293677959099829
bpic2017_R;single_laststate;catboost;4;prec;0.4100367197062424
bpic2017_R;single_laststate;catboost;4;rec;0.418227215980025
